,processed_text
10,objective describe cerebrovascular manifestation patient hospitalize treatment severe covid- highlight comorbiditie observe play relevant role risk factor severe outcome method case series retrospective analyze june november patient admit emergency department positive nasopharyngeal swab polymerase chain reaction assay sars cov- present neurological symptom positive finding brain imaging study result sample clinical severity symptom varied mild critical ischemic stroke observe patient hemorrhagic event occur case patient evolve large parenchymal hemorrhage present petechial bleed foci case observe subarachnoid hemorrhage associate bilateral hypodensity globus pallidus typical posterior reversible encephalopathy syndrome finding observe patient brain compute tomography conclusion patient neurovascular complication relate covid- positive finding brain imaging neurological symptom pathological entity observe draw attention neurological risk patient sars cov- infection include bad outcome individual medical history include clinical comorbiditie especially hypertension obesity
11,background old adult aret ahigh risk severe coronavirus disease  covid- require intensive care unit icu admission age selection criterion case icu bed scarcity seek compare proportion clinical feature mortality patient year old young icu patient covid- method patient consecutively admit covid icu age admission criterion march  april include demographic clinical laboratory characteristic record illness severity charlson comorbidity index cci calculate patients>/= year old compare younger result  patient year male  were>/= year old compare young old patient high illness severity score apache ii  versus  p/= year old represent considerable proportion compare young one high mortality age severity illness cci certain comorbiditie independent risk factor mortality
12,introduction interest revolve coronavirus disease  covid- reinfection escalate rapidly definition reinfection denote severe acute respiratory syndrome coronavirus  sars cov- pcr redetection covid- recurrence month initial symptom main aim current systematic review evaluate feature covid- relapse patient material method study string term develop skilled librarian systematical search pubmed web science embase eligible study clinical survey type include january  march eligible study consist positive assessment separate negative result rt pcr result study include  case covid- reinfection child likely covid- relapse patient age group year asthenia .% headache .% cough .% prevalent symptom sars cov- infection asthenia .% myalgia .% headache .% frequent second common treatment option covid- infection lopinavir ritonavir oxygen support .% oseltamivir treatment second infection antibiotic dexamethasone remdesivir addition obesity .% kidney failure hypertension .% common comorbiditie unfortunately approximately .% patient die conclusion find potency covid- recurrence outstanding issue feature regard covid- management furthermore second covid- similar clinical feature clinically practical comparison symptom severity epoch infection uniform datum require suggest future study undertake homogenous approach establish clinical pattern reinfection phenomenon
13,interim result large multinational trial coronavirus disease  covid- combination antiviral drug appear little effect -day mortality hospital course vivid interest find alternate purpose drug nutrition supplement halt slow disease severity review multiple preclinical study partially support clinical evidence show quercetin possible therapeutic prophylaxis efficacy severe acute respiratory syndrome coronavirus sars cov comorbiditie like chronic obstructive pulmonary disease copd diabetes mellitus obesity coagulopathy hypertension currently  interventional clinical trial underway assess efficacy quercetin antiviral drug nutritional supplement prophylaxis treatment option covid- present review tempting suggest base circumstantial scientific evidence preliminary clinical datum flavonoid quercetin ameliorate covid- infection symptom act concert parallel independent path inhibit key factor responsible sars cov- infection mitigate clinical manifestation disease patient comorbid condition despite broad therapeutic property quercetin high power randomized clinical trial need firmly establish clinical efficacy covid-
14,objective study examine value risk stratification document diagnosis diabetes objectively measure height weight bmi covid- severity mortality large sample patient urban hospital locate southern california method datum retrospective cohort study covid- patient treat cedars sinai medical center march january analyze sociodemographic characteristic pre existing condition extract electronic medical record univariable multivariable logistic regression model identify associated risk factor regression causal mediation analysis examine role diabetes association obesity illness severity analysis stratify age result individual have bmi risk factor mortality regardless diabetes history conclusion finding clinical implication document patient elevated risk adverse outcome depth prospective study need capture glycemic regulation influence prognosis
15,year coronavirus disease  covid- pandemic despite know risk factor unable predict severity infection specific patient contradictory datum protective role immunosuppression prevent severe course infection remain uncertain want discuss influence immunosuppressive factor covid- pattern child base case report -year old boy immunosuppressive factor completely different course disease patient suffer aids syphili primary central nervous system b cell lymphoma treat radiotherapy experience light path infection present periodically appear cough x ray inflammatory change risk severe covid- transient hypoxia remdesivir administer remain generally good condition follow reveal noticeable complication second patient characterise syndrome obesity polyarteritis nodosa chronic immunosuppressive therapy develop massive pneumonia require treatment intensive care unit use mechanical ventilation remdesivir anakinra despite initial improvement general condition include degree lung involvement respiratory function develop intracerebral haemorrhage lead brain herniation ultimately death conclusion hiv infection oncological immunosuppressive treatment predispose severe course covid- syndrome obesity
16,background sars cov- infection portend broad range outcome majority asymptomatic case lethal disease robust correlate severe covid- include old age male sex poverty co morbidity obesity diabetes cardiovascular disease precise knowledge molecular biological mechanism explain association severe disease male sex lack analyze relationship serum testosterone level immune cell skew disease severity male covid- patient method biochemical hematological parameter admission sample  hospitalize male female covid- patient analyze association outcome sex longitudinal hospital course analysis subcohort  male patient analyze association outcome longitudinal analysis immune population flow cytometry  male patient study association outcome result find quantitative difference biochemical predictor disease outcome male vs. female patient longitudinal analysis subcohort male covid- patient identify serum testosterone trajectory strong predictor survival auc roc .% p patient biochemical parameter study include single point admission serum testosterone value lethal case longitudinal determination serum luteinizing hormone lh androstenedione level follow physiological feedback pattern failure reinstate physiological testosterone level associate evidence impaired t helper differentiation augmented circulate classical monocyte conclusion recovery failure reinstate testosterone level strongly associate survival death respectively covid- male patient datum suggest early inhibition central lh androgen biosynthesis axis majority patient follow recovery survivor peripheral failure lethal case observation suggestive significant role testosterone status immune response covid- warrant future experimental exploration mechanistic relationship testosterone status sars cov- infection outcome potential prophylactic therapeutic implication
17,background enormous knowledge gap management strategy clinical outcome follow kidney transplantation kt recipient recover coronavirus disease covid- method conduct multi center retrospective analysis  indian transplant centre june  december  kt recipient recover covid- infection analyze clinical biopsy confirm acute rejection ar incidence cox proportional modeling estimate multivariate adjust hazard ratio hr predictor ar perform compete risk analysis additional outcome measure include graft loss cause mortality wait time positive real time polymerase test rt pcr kt laboratory parameter quality life follow finding  kt include abo incompatible sensitize .% coexist donor covid- history  .% recipient residual radiographic abnormality incidence ar  .% .% death censor graft loss .% cause mortality median interquartile range follow  day cox hazard proportional analysis absence oxygen requirement covid- compare oxygen need hr p value use thymoglobulin use compare induction strategy hr p value low risk ar degree human leukocyte antigen hla dr mismatch high risk ar hr p value compete risk analysis death compete event hla dr mismatch oxygen requirement continue associate ar age gender obesity inflammatory marker dialysis vintage steroid use sensitization abo incompatibility associate high risk ar median duration covid- real time polymerase test negativity transplant day overall range day world health organization ordinal scale /= respectively difference quality life tacrolimus level blood count mean serum creatinine assess patient past covid- infection independent severity interpretation finding support outcome kt covid- recovery excellent absence covid- sequela follow additionally need change induction immunosuppression regimen base severity covid- funding sanofi
18,introduction current evidence indicate severity coronavirus disease  covid- low pediatric population local datum limited objective characterize clinical epidemiological aspect covid- infection patient young  year argentina population method cross sectional observational analytical study confirmed covid- patient age year see march  march   referral child hospital argentina multivariate analysis identify predictor severe case result total  covid- case include .% live metropolitan area buenos aires .% male patient median age year see epidemiological week .% history contact covid- patient .% family setting .% respiratory symptom .% general symptom .% gastrointestinal symptom .% neurological symptom .% symptom .% asymptomatic addition .% patient hospitalize .% severe critical course total  patient develop multisystem inflammatory syndrome history asthma bronchopulmonary dysplasia congenital heart disease moderate severe malnutrition obesity chronic neurological disease and/or age young  month independent predictor severity live vulnerable neighborhood protective factor conclusion half case refer history contact covid- patient family setting hospitalization base clinical criterion severity severity associate presence certain comorbiditie
19,result severe acute respiratory syndrome coronavirus surge prevalence severity non syndromic pediatric overweight nspo united states prevention intervention engagement regular moderate vigorous physical activity consistently show mitigate development maintenance nspo african american adolescent female subgroup population disparately impact nspo likely engage regular physical activity multidimensional global self concept identify possible predictor physical activity engagement dimensional linkage physical activity engagement member subgroup establish secondary analysis datum n  urban dwell african american adolescent female seek evaluate contribution select dimension global self concept engagement vigorous physical activity finding -model hierarchical regression analysis find addition socioeconomic position social desirability competence dimension global self concept significant predictive contributor physical activity engagement member study cohort specifically dimension physical appearance romantic appeal close friendship social acceptance scholastic competence research need result study important implication population health
20,background background sars cov- virus large rna virus include coronavirus group show tropism airway epithelial cell sars cov- cause acute respiratory infectious disease covid- accord report mortality covid- high elderly burden comorbiditie diabetes obstructive pulmonary disease coronary artery disease cancer hypertension hepatitis b obesity chronic kidney disease objective aim study review current literature influence importance vitamin d level course sars cov- infection material method systematic review study publish january  june  perform purpose bibliographic database pubmed scopus search follow keyword combination covid- vitamin d -hydroxy vitamin d vitamin d supplementation sars cov- result show vitamin d play important role mechanism innate immunity course acute respiratory infection overlap factor severity covid- disease vitamin d deficiency prevalence obesity age scare ethnicity lead researcher hypothesize vitamin d supplementation promise preventive therapeutic measure covid- conclusion important factor immunomodulatory character vitamin d adequate supplementation preventive therapeutic measure case sars cov- infection especially elderly people obesity chronic disease
21,background abnormal liver chemistry common finding patient coronavirus disease  covid- association abnormality severity covid- clinical outcome poorly understand aim aim assess prevalence elevated liver chemistry hospitalize patient covid- compare serum liver chemistry predict severity hospital mortality method retrospective observational study include  patient covid- hospitalize johns hopkins health system baltimore md united states demographic datum clinical characteristic laboratory finding treatment measure outcome datum collect cox regression modeling explore variable associate abnormal liver chemistry admission disease severity prognosis result total  .% abnormal alanine aminotransferase alt time admission prevalent abnormal liver chemistry aspartate aminotransferase ast .% alkaline phosphatase alp .% total bilirubin t bil .% factor associate liver injury old age asian ethnicity race overweight obesity high alt ast t bil alp level commonly associate disease severity multivariable adjust cox regression analysis reveal abnormal ast t bil associate high mortality risk liver injury indicator hospitalization abnormal ast t bil alp associate need vasopressor drug high level ast t bil decrease albumin level associate mechanical ventilation conclusion abnormal liver chemistry common time hospital admission covid- patient closely relate patient severity prognosis elevated liver chemistry specifically alt ast alp t bil level stratify risk predict need advanced therapy patient
22,background objective coronavirus disease  covid- report china year ago primarily lung infection associate cough fever spread rapidly world declare pandemic early  million people infect million death worldwide date approximately death occur covid- united states number continue rise extrapulmonary manifestation disease acute kidney injury aki cardiovascular event gastrointestinal gi indication emphasize initially subsequent study united states canada note gi involvement disease large number case group take care patient early phase pandemic observe frequent presentation gi symptom diarrhea hepatic dysfunction study examine method undertake retrospective study  consecutive adult patient hospitalize center confirmed covid- infection view elucidate gi hepatic involvement early breakout march -may illness result major comorbiditie associate illness cohort patient include hypertension htn diabetes mellitus dm obesity chronic kidney disease ckd common gi manifestation diarrhea interestingly third patient liver function abnormality common liver function abnormality elevate serum aspartate aminotransferase ast elevated ast significantly correlate p inflammatory marker d dimer lactate dehydrogenase ldh ferritin aki bi variate analysis salient observation study include high mortality frequent aki cardiovascular event male patient p liver injury cohort suspect multifactorial involve excessive cytokine release viral infiltration hepatocyte cholangiocyte play role transaminitis mean /-sd duration hospital stay day admission icu overall mortality significant difference african americans caucasians patient admit icu high mortality rate compare admit intermediate care imc)/acute care severity illness associated pulmonary complication conclusion study evaluate presence comorbiditie dm htn obesity patient hospitalize covid- community hospital mid atlantic region united states statistical analysis datum obtain cohort reveal high frequency gi symptom diarrhea predominant common initial manifestation disease serum ast elevation common correlate inflammatory marker aki male gender significantly associate development aki high frequency cardiovascular event increase mortality overall mortality note high mortality patient admit icu compare imc floor observation spur future investigation role comorbiditie development diarrhea hepatic dysfunction covid-
23,background study aim compare outbreak coronavirus disease  covid- belgium tomographic biological clinical aspect artificial intelligence ai methodology perform observational retrospective study adult patient symptomatic seven day covid- infection diagnose chest compute tomography ct and/or reverse transcription polymerase chain reaction include study wave pandemic last march second wave last october december wave subgroup define depend respiratory failure occur course disease quantitative estimation covid- lung lesion perform ai radiologist radiology resident chest ct severity score calculate ai result  patient include study find statistically significant difference obesity hypertension asthma difference predominant second wave mixed distribution central peripherical pulmonary lesion note second wave difference note mortality respiratory failure complication radiological biological element chest ct severity score risk factor mortality respiratory failure mild agreement ai visual evaluation pulmonary lesion extension k conclusion march december cohort majority parameter analyze record significant change wave ai reduce experience performance gap radiologist well establish hospitalization criterion
24, january world health organization declare current novel coronavirus disease  covid- public health emergency international concern later characterize pandemic new datum excess body mass vitamin d deficiency relate disease severity mortality aim study evaluate latitude proxy sunlight exposure vitamin d synthesis prevalent obesity european population relate covid- spread severity european covid- datum incidence fatality include information prevalence obesity social distancing obtain world data website  april adjust analysis show high covid- incidence fatality picture country high latitude period time period  november march high incidence fatality covid- observe prevalence overweight obesity high time period time period  november march covid- incidence high fatality present result provide insight target intervention preventive strategy covid-
25,year pass outbreak report time wuhan coronavirus disease  covid- severe acute respiratory syndrome sars)-cov- coronavirus rapidly evolve pandemic infectious disease stress global health care system mortality rate high particularly elderly population patient comorbiditie hypertension diabetes mellitus cardiovascular disease chronic lung disease chronic renal disease malignancy subject diabetes high risk develop severe form covid- increase mortality diabetes contribute covid- severity remain unclear hypothesize correlate effect hyperglycemia systemic inflammatory response immune system dysfunction vitamin d vd modulator immune response datum literature show vitamin d deficiency covid- patient increase covid- severity likely negative impact immune inflammatory response use vitamin d play role aspect infection particularly inflammatory state immune system function patient piece evidence highlight link vitamin d deficiency obesity diabetes factor associate covid- severity give background perform overview systematic review assess association vitamin d supplementation inflammatory marker patient diabetes furthermore vitamin d possible role covid- patient assess database medline pubmed central cochrane library systematic reviews retrieve pertinent datum aim review provide insight recent advance molecular basis relationship vitamin d immune response inflammation diabetes covid-
26,covid- endothelial disease major comorbiditie increase risk severe sars cov- infection severe covid- include old age obesity diabetes hypertension respiratory disease compromise immune system coronary artery disease heart failure associate dysfunctional endothelium genetic environmental factor epigenetic major risk factor endothelial dysfunction individual metabolic syndrome increase risk severe sars cov- infection poor covid- outcome high risk mortality old age non modifiable risk factor risk factor modifiable review identify dietary risk factor endothelial dysfunction potential dietary prevention address endothelial dysfunction sequelae important role prevent sars cov- infection severity key factor future research address review present dietary bioactive demonstrate efficacy dysfunctional endothelial cell review cover dietary bioactive efficacy sars cov- infection dietary bioactive compound prevent endothelial dysfunction sequelae especially gastrointestinal tract result effective prevention sars cov- variant infection severity key factor future food research address
27,background study aim evaluate real world effectiveness regdanvimab clinical outcome patient mild moderate coronavirus disease  covid- method retrospective observational study include  patient receive regdanvimab  diagnose mild moderate covid- august  october  admit armed forces goyang hospital collect information use regdanvimab remdesivir dexamethasone supplemental oxygen symptom severity score sss laboratory test result linear mixed effect model test effectiveness regdanvimab usage sss result laboratory test multivariate logistic regression model calculate odd ratio additional therapeutic option remdesivir dexamethasone supplemental oxygen result patient receive regdanvimab old show high rate vaccination high charlson comorbidity index initial body temperature percentage pneumonia admission use regdanvimab show interactive effect sss laboratory finding old age male sex obesity high initial body temperature presence pneumonia admission associate increase or use additional treatment use regdanvimab reduce probability require additional therapy remdesivir dexamethasone oxygen supplementation confidence interval ci .- ci .- ci respectively conclusion regdanvimab usage tolerated associate decrease probability require remdesivir dexamethasone oxygen therapy change sss significantly different drug usage
28,initial reporting december novel coronavirus sars cov- emerge global health problem official declaration pandemic world health organization estimate  million case million fatality january study prevalence covid- severe case show comorbiditie risk factor obesity increase aging chronic cardiovascular respiratory disease play role severity sars cov- infection interaction factor involvement progression infection mortality remain unclear know sars cov- damage lung morbidity acute kidney disease thyroid dysregulation recently emerge symptomatic covid- patient condition alter thyroid hormone play critical role regulate metabolic pathway role level infectivity sars cov- capability sars cov- invade affect organ system dependent access angiotensin convert enzyme ii ace commonly express host cell binding put system high risk direct viral injury inevitably create excessively high concentration anti inflammatory mediator cytokine predispose covid- patient state severe immunosuppression case report describe -year old female test positive covid- medical history hypothyroidism present unique combination acute bacterial hemorrhagic pyelonephritis ureteral obstruction experience intermittent dysuria urinary urgency hematuria past day develop chill diaphoresis nausea vomit administer acetaminophen headache ageusia anosmia accompany respiratory illness despite receive pfizer double dose vaccine month arrival computerized tomography ct scan reveal severe moderate inflammation surround enlarge kidney  mm ureteral stone blood urine culture show growth escherichia coli gram negative bacilli chest x ray display patchy appearance right infrahilar airspace reflect atelectasis diagnosis covid- additional laboratory finding profoundly elevate c reactive protein fibrinogen d dimer level abdominal ct scan reveal hemorrhagic ureteral obstruction massive swelling renal parenchyma persistent pyelonephritis hydronephrosis
29,severe acute respiratory syndrome coronavirus  sars cov- responsible current coronavirus disease  covid- pandemic affect  country cause death  million people worldwide genetic background represent factor predispose way host respond sars cov- infection sense genetic variant ace ace explain observed interindividual variability covid- outcome order improve understanding genetic variant ace ace involve severity covid- include total  individual show clinical manifestation covid- diagnose reverse transcription pcr rt pcr genomic dna extract peripheral blood saliva sample ace insertion deletion polymorphism evaluate high resolution melting method ace single nucleotide polymorphism snp rs ace snp rs rs genotype taqman probe assess association ace ace polymorphism disease severity logistic regression analysis adjust age sex hypertension type  diabetes obesity severity illness study population divide mild severe critical illness additionally individual die male result show codominant model contribution ace gene rs t t genotype critical outcome odd ratio ci p require oxygen supplementation ci p addition strong association t allele variant develop critical illness male individual ci p suggest t allele rs represent risk factor severe critical outcome covid- especially man regardless age hypertension obesity type  diabetes
30,coronavirus disease  cause severe acute respiratory syndrome coronavirus  usually mild condition case result severe sickness death understand reason grave outcome great importance coronavirus disease  periodontitis share intriguing characteristic lead systemic inflammation alteration coagulation pathway share confounding factor diabetes hypertension obesity accordingly possible association condition hypothesize literature objective review evaluate scientific evidence link disease possible underlying mechanism evidence show coronavirus disease  present oral manifestation affect periodontal tissue study show possible association coronavirus disease  severity presence periodontitis current evidence suggest association explain direct role periodontal bacteria aggravating lung infection indirect effect periodontiti induce systemic inflammation priming immune system exacerbate reaction severe acute respiratory syndrome coronavirus  infection future research need confirm observation explore possible role periodontal care play coronavirus disease  pandemic
31,covid- disease knowledge construction high transmissibility consensual treatment available identification patient high risk evolve critical form disease fundamental study aim determine risk factor associate severity covid- adult patient observational retrospective study cohort adult patient covid- admit public hospital march august medical record evaluate association possible severity predictor poisson regression primary outcome critical form disease need admission intensive care unit and/or invasive mechanical ventilation include  patient man .% progress critical form disease year old hypertension diabetes mellitus obesity frequent comorbiditie .% patient progress critical form disease hospital mortality rate critical patient independent factor associate severity disease obesity rr ci p spo fio ratio  mg l rr ci p lymphocyte rr ci p advanced age comorbiditie dependent factor strongly associate critical form disease
32,purpose outline clinical laboratorial profile patient obesity undergo bariatric surgery present positive reverse transcription polymerase chain reaction rt pcr severe acute respiratory syndrome coronavirus- sars cov- preoperative period symptom presentation method case series  patient undergo bariatric surgery present positive rt pcr sars cov- preoperative period reported symptom datum collect include demographic characteristic length hospital stay wait time surgery inflammatory marker serum level micronutrient dengue virus denv serology result total  patient undergo bariatric surgery institution study period incidence asymptomatic case sample comprise .% woman mean age year mean preoperative body mass index bmi kg m. thirty percent sample previous diagnosis diabetes .% hypertension mean time elapse positive rt pcr operation  day mean length postoperative hospital stay day mean lymphocyte count mean platelet lymphocyte ratio mean c reactive protein value mg dl ferritin mark microg l. denv igg identify patient test mean level vitamin d zinc ng ml microg dl respectively postoperative complication report conclusion include patient present laboratory marker relate disease severity important notice patient test denv specific igg detect serum
