,processed_text
13,mucormycosis angioinvasive disease cause mold fungus genus rhizopus mucor india report surge case covid  associate mucormycosis past month increase frequency risk factor like corticosteroid therapy uncontrolled diabetes neutropenia obesity study show eukaryote cell membrane contain cholesterol fungal cell wall contain ergosterol lanosterol precursor ergosterol essential mitochondrial dna maintenance fungus cholesterol human current study base hypothesis fungus use human cholesterol raw material maintain cell function accentuate multiplication indirectly show association deranged lipid parameter individual severity mucormycosis present study aim estimate lipid parameter correlate serum lipid parameter clinical profile stage disease duration onset mucormycosis patient covid associate mucormycosis material cross sectional study conduct  patient diagnose covid  associate mucormycosis admit hospital attach bmcri july  september serum fast lipid profile biochemical parameter determine correlation lipid level clinical profile onset staging mucormycosis patient obtain observation age distribution vary yr yr majority male patient mucormycosis severity stage nasal block .% find common symptom follow headache(.% patient mucormycosis frequent associate comorbidity diabetes mellitus dm follow hypertension htn follow dm htn follow ischemic heart disease ihd follow dm htn ihd study show statistically significant correlation severity mucormycosis increase progressive worsen lipid parameter show statistically significant correlation patient increase tc ldl vldl tg level short covid  onset mucormycosis onset duration conclusion study show positive correlation serum lipid profile staging mucormycosis negative correlation lipid level duration onset covid  onset mucormycosis serum lipid profile excellent marker predict severity prognosis covid  associate mucormycosis
14,covid  infection highly transmissible spread globally include population high vaccination rate covid- vaccination india start month january  healthcare worker hcw vaccinate lot debate efficacy vaccine study highlight breakthrough covid- infection vaccinated hcw compare clinical lab parameter hospitalize non hospitalize material retrospective study conduct questionnaire assess covid- like symptom confirm covid  infection fully vaccinate hcw faculty include nurse wardboy professor post graduate student intern institute period  month march  june number infection match hospital record observation  hcw receive dose covishield vaccine male  female mean age find ne people co morbidity include diabetes hypertension  hcw  people require hospitalization ie case mild symptom require oxygen support significant difference hospitalize non hospitalize regard routine lab parameter significant elevation inflammatory marker positive  hospitalize case p value significant p&lt conclusion study identify breakthrough infection vaccinated hcws(health care worker common breakthrough infection mild asymptomatic persistent symptom occur finding suggest covid- severe hospitalize patient compare non hospitalized infection occur result severe form mortality indicate vaccination prevent severe form disease preventive measure continue vaccinate individual
15,"find association cam diabete correlate severity glycemic status clinical feature morbidity associate material descriptive study conduct covid ward govt kilpauk med college apr  aug  laboratory confirm covid- case rtpcr real time reverse transcription polymerse chain reaction nasopharyngeal amp throat swab admit centre severe covid- infection define bysp&lt;%orrespiratory rate gt;/min admi hospital stay post covid  case define clinical recovery respiratory symptom pass  day onset symptom covid lymphocytopenia define absolute lymphocyte count&lt;/mm datum compile ms excel sheet study observation patient cam/(.% hadheadache,/(.% nasal symptom form rhinorrhoea amp nasal stuffiness /(.% eye symptom form red nessoreye pain o n admission .% patient history present severe covid- pneumonia time diagnosis cam  .% hypoxemia require supplemental oxygen mean duration onset covid- diagnosis cam day patient cam fully vaccinate covid- patient receive single dose covishield covid- vaccine patient admit centre antifungal therapy  hospitalize patient covid  infection  patient cam incidence .% patient cam .% diabetes mellitus common co morbidity majority patient poor glycemic control mean hbac .% total population prior exposure high dose corticosteroids.surgical debridement patient treat withantifungal study period patient cam survive conclusion mucormycosis formidable angioinvasive opportunistic infection immunocompromised host spectrum mucormycosis involve rhino orbital cerebral pulmonary disseminate cutaneous gastrointestinal disseminate form disease major risk factor disease diabetes neutropenia iron overload malignancy organ transplant diabetes common metabolic disorder independent risk factor severe covid- mucormycosis patient diabetes affect covid- superinfection mucormycosis lead adverse clinical outcome prolonged hospital stay"
16,introduction date covid- claim million life diabetes identify independent risk factor outcome people covid- infection hold true world region uniformly previously assess method study offer umbrella systematic review meta analysis analyse collective geographically stratified mortality icu admission ventilation requirement illness severity discharge rate patient diabetes database embase medline cab abstracts psychinfo web science  additional source ssrn elibrary research square search inception  august prospective retrospective cohort study report association diabetes covid- hospitalization outcome include meta analysis register prospero crd abbreviated mesh term search follow diabetes novel coronavirus disease adapt database requirement exclusion criterion exclusion criterion follow primary secondary outcome meta analysis report confirm covid- infection laboratory clinical unexposed population solely patient diabetes include quality include study assess newcastle ottawa scale nos whilst quality evidence grade framework study clinically homogeneous pool summative datum heterogeneity generate cochrane platform revman v. result overall  observational study include total participant median age  iqr .% male total  study originate eu  far east  middle east  america datum synthesize mixed heterogeneity outcome pooled result highlight patient diabetes high risk covid relate mortality ci icu admission increase study patient diabetes ci result mainly skew far east originate study ci ventilation requirement increase patient diabetes worldwide ci presentation severe critical condition ci hbac level mmol metformin use constitute protective factor view covid- mortality whilst inverse true concurrent insulin use conclusion whilst diabete constitute poor prognosticator covid- infection outcome variability world region significant skew overall trend
17,importance sars cov- entry require tmprss cell surface protease antiandrogen therapy reduce expression tmprss objective determine temporary androgen suppression induce degarelix improve clinical outcome inpatient hospitalize covid- design setting participant hormonal intervention treatment veteran covid- requiring hospitalization hitch phase placebo control double blind randomized clinical trial compare efficacy degarelix plus standard care vs placebo plus standard care clinical outcome man hospitalize covid- require invasive mechanical ventilation inpatient enrol  department veterans affairs hospital july april datum analyze august  october intervention patient stratify age history hypertension disease severity centrally randomized degarelix subcutaneous dose  mg saline placebo standard care include limit supplemental oxygen antibiotic vasopressor support peritoneal dialysis hemodialysis intravenous fluid remdesivir convalescent plasma dexamethasone main outcomes measures composite primary end point mortality ongoing need hospitalization requirement mechanical ventilation day  randomization secondary end point time clinical improvement inpatient mortality length hospitalization duration mechanical ventilation time achieve temperature reference range maximum severity covid- composite end point  day result trial stop futility plan interim analysis time  evaluable patient include  patient randomize degarelix group  patient placebo group  initially plan median range age year common comorbiditie include chronic obstructive pulmonary disorder patient hypertension patient cardiovascular disease patient asthma patient diabetes patient chronic respiratory failure require supplemental oxygen baseline prior covid- patient primary end point significant difference degarelix placebo group patient vs  patient p similarly difference observe degarelix placebo group secondary end point include inpatient mortality patient vs  patient cause mortality patient vs  patent difference degarelix placebo group overall rate adverse event patient vs  patient adverse event patient vs  patient unexpected safety concern conclusion relevance randomized clinical trial androgen suppression vs placebo usual care man hospitalize covid- degarelix result amelioration covid- severity trial registration clinicaltrials.gov identifier nct
18,background december outbreak pneumonia cause severe acute respiratory syndrome coronavirus- sars cov- lead life threaten ongoing pandemic worldwide retrospective study chow show aspirin use associate decrease intensive care unit icu admission hospitalize coronavirus disease  covid- patient recently recovery trial show associate reduction -d mortality progression mechanical ventilation patient conflict finding study aim evaluate impact daily aspirin intake outcome covid- patient aim study aim evaluate impact daily aspirin intake outcome covid- patient method retrospective cohort study conduct  covid- positive patient subgroup analysis evaluate association demographic comorbiditie undertake impact chronic aspirin use assess survival outcome need mechanical ventilation progression icu variable evaluate chi square test multinomial logistic regression analysis result  patient study .% daily aspirin .% cross tabulation clinical parameter show hypertension p hyperlipidemia diabetes mellitus p significantly associate aspirin intake regression analysis progression icu need mechanical ventilation survival outcome daily aspirin intake show statistical significance conclusion study suggest daily aspirin intake protective impact covid- illness associate survival outcome mechanical ventilation progression icu level care
19,background coronavirus disease  covid- pandemic tertiary hospital south africa world wide describe limited datum publish finding article aim describe patient admit large district hospital cape town south africa wave severe acute respiratory syndrome coronavirus  sars cov- infection compare clinical feature investigate survivor deceased covid- patient method single centre retrospective review clinical record laboratory datum patient admit positive sars cov- polymerase chain reaction pcr april  august result total  patient positive sars cov- pcr admit study centre night long patient  die covid- median age patient die covid-  year  year survivor hypertension diabetes mellitus obesity common comorbiditie patient survive die covid- major difference compare severity infiltrate chest x ray cxr covid- survivor deceased patient half deceased patient die  day follow admission hospital substantial number patient die covid- associate acute kidney injury n conclusion acute kidney injury high prevalence patient die covid- delay transfer intensive care unit icu limited icu capacity disease severity contribute substantial number patient die  day admission
20, confirm coronavirus disease  covid- case india declare pandemic world health organization march risk severe covid- consistent individual uncertainty link disease development covid- result relate systemic inflammation predictor covid- increase level inflammatory marker associate cytokine storm coagulopathy endothelial dysfunction significant research suggest result role cause death individual suffer severe form covid- aim experience covid- gitam institute medical sciences research gimsr visakhapatnam analyze datum  patient admit dedicated covid hospital post unlock ul india august  august mean age year male mohfw india severity guideline .% mild .% moderate .% severe case fatigue .% common complaint follow anosmia .% fever .% diarrhea .% shortness breath .% common preexist comorbidity see patient diabetes mellitus hypertension respectively laboratory parameter reveal mean hemoglobin .+/- gm dl mean total leukocyte count .+/- cell cumm mean platelet count .+/- lakh cumm mean erythrocyte sediment rate mm hr mean ferritin level ng ml mean d dimer level ng ml mean crp mg l. severity associate high age symptomatic presentation elevated leucocyte elevate inflammatory marker
21,sars cov- virus disease present variable severity recently increase report case covid- associated mucormycosis cam observe mainly patient diabetes mellitus diabetic ketoacidosis steroid treatment high number case report india prevalence hospitalize patient covid- year imply .-fold increase prevalence mucormycosis compare year corticosteroid treatment reduce mortality patient severe covid- prolonged use combination clinical immunological factor increase risk invasive fungal infection report case cam argentina report represent warning consider diagnosis invasive fungal infection patient severe covid-
22,recent outbreak coronavirus sars cov- declare worldwide pandemic multi organ involvement ocular manifestation describe conjunctivitis retinopathy prevalence severity retinal lesion relation severity systemic disease unknown perform prospective observational study  consecutively hospitalize patient acute confirm covid- infection patient undergo screen widefield fundus photography time hospital admission despite ocular vision relate symptom find cotton wool spot cws and/or hemorrhage patient diabetes history overweight elevate c reactive protein frequently observe patient retinal abnormality history systemic hypertension frequently observe patient retinal finding follow visit cws subside patient
23,coronavirus disease  covid- attributable severe acute respiratory syndrome coronavirus  sars cov- cause worldwide health issue airway colonization candida spp prevalent patient automatic ventilation intensive care unit icu research aim ascertain risk factor role candida spp respiratory tract colonization candida lung infection progression covid- pneumonia critically ill patient total candida spp recover   immunosuppressed patient covid- bronchoscopy collect bronchoalveolar lavage bal specimen identification candida spp pcr sequencing primer amplification hwp gene conduct identify candida albican complex antifungal activity fluconazole itraconazole voriconazole amphotericin b caspofungin candida spp evaluate clinical laboratory standards institute m. .% patient candida respiratory colonization d d impact severity covid- comparison c. albican strain candida respiratory disorder c. glabrata influence severity covid- critically ill patient follow adjustment risk factor covid- p amphotericin b caspofungin show superior activity candida spp antifungal agent show sensitivity c. africana strain observation patient automatic ventilation respiratory colonization candida spp see influence infection death cause covid- amphotericin b caspofungin show superior activity candida spp recommend treatment regime pulmonary candidiasis associate covid- infection candida pneumonia rarely report critically ill patient candida airway colonization mainly candida albican common especially patient diabetes malignancy kidney disorder
24,severe acute respiratory syndrome coronavirus  sars cov- infection spread world global public health emergency undernourishment prolong convalescence adverse effect prognosis especially diabetic patient purpose study evaluate prevalence characteristic undernourishment determine relate prognostic outcome diabetic patient coronavirus disease  covid- retrospective multicenter study conduct  diabetic covid- patient hospital hubei province patient assess european nutritional risk screening  nrs- nutritional assessment admit  .% risk malnutrition nrs score severe covid- patient significantly low level serum albumin prealbumin high nrs score non severe patient multivariate logistic regression analysis show serum prealbumin nrs score increase likelihood progression severe status p/= severe illness normal nutritional nrs score group p long length hospital stay high mortality malnutrition highly prevalent covid- patient diabetes associate severely ill status poor prognosis evaluation nutritional status strengthen especially indicator nrs- level serum prealbumin
25,covid- risk increase comorbiditie effect magnify contribution individual combine comorbiditie overall clinical outcome aim explore influence demographic factor clinical manifestation underlie comorbiditie mortality severity hospital stay covid- patient retrospective chart review perform identify laboratory confirm case sars cov- infection apollo hospitals hyderabad march  august total  confirm sars cov- case identify  .% patient male  .% female confirm case  .% comorbiditie  .% devoid comorbiditie study show old age underlying comorbiditie significantly increase mortality hospital stay severity covid- infection presence comorbiditie diabetes mellitus dm hypertension htn coronary artery disease cad chronic kidney disease ckd confer severity high mortality ci observe hospital stay ci group multivariate analysis reveal nonsurvivor high dm htn cad ckd category odd ratio ci age gender comorbiditie adjust odd ratio decrease median survival  day observe dm htn cad ckd category summary presence underlie comorbiditie contribute high mortality rate great risk severe disease extend hospitalization period result overall poor clinical outcome hospitalize covid- patient
26,background coronavirus disease  infection global pandemic affect world population aim evaluate prognostic role cross sectional area muscle index muscle attenuation value compute tomography base skeletal group erector spinae muscle pectoralis muscle total skeletal muscle patient hospitalize coronavirus disease   cardiovascular risk factor method total  patient coronavirus disease   cardiovascular risk factor enrol study retrospectively cross sectional area muscle index attenuation erector spine muscle pectoralis muscle total skeletal muscle automatically measure compute tomography image study population assign tertile basis total smcsa index relationship value obtain length hospital stay admission intensive care unit need invasive mechani cal ventilation mortality investigate result admission intensive care unit need invasive mechanical ventilation mor tality high tertile  group group p value statistically muscle measurement significantly low tertile  p diabetes mellitus hypertension total smcsa index predictor hospital mortality patient coronavirus disease  basis cox regression analysis kaplan meier analysis proportion survivor relative total smcsa index tertile  high mortal ity survival rate p conclusion sarcopenia attendant cardiovascular comorbiditie effectively assess dis ease severity predict outcome patient coronavirus disease
27,background coronavirus disease  covid- vaccination establish prevent severe mortal covid- vaccination critical strategy control covid- pandemic restrict infection reduce disease severity vaccination coverage extensive well identify vaccination barrier population especially vulnerable group pregnant woman aim study determine level acceptance covid- vaccination detect factor influence vaccine acceptance pregnant woman saudi arabia method cross sectional web base study conduct western eastern north south central regions saudi arabia july september  pregnant woman multi stage sampling pregnant woman  year invite participate study pregnant  year age contraindication receive covid- vaccination exclude binomial logistic regression univariate multivariate identify influence factor vaccination acceptance result  pregnant woman acceptance level covid- vaccine multivariate regression model analysis common predictor acceptance live north region p live south region p live central region p comparison live western region gestational week p or=. income  sr p education level primary secondary university p respectively having gestational diabetes mellitus p vaccinate influenza vaccine present pregnancy p vaccinate tetanus vaccine present pregnancy p believe covid- vaccine harm baby p conclusion study report high acceptance covid- vaccination major reason refusal concern lack datum covid- vaccination safety possibility harm fetus continue public health effort educational television program awareness campaign safety covid- vaccine pregnant woman require raise awareness study covid- vaccine safety pregnant woman assist overcome obstacle encourage pregnant woman vaccinate
28,aim certain patient diabetes mellitus dm high risk complication covid- aim test hypothesis pre existing diabetic retinopathy dr microvascular disease prognostic indicator poor covid- outcome heterogeneous population method seven database include medline grey literature search identify eligible study predetermined selection criterion quality prognosis studies quips tool quality assessment follow narrative synthesis include study result cohort study identify show significant positive association dr poor covid- outcome high quality study mcgurnaghan find increase risk combine outcome fatal critical care unit ccu)-treated covid- referable grade dr ci indirectly study report positive association microvascular disease poor prognosis variability study limited comparability conclusion current literature suggest independent association dr poor covid- prognosis patient dm control key variable age use standardised methodology future study establish predictive value dr great confidence researcher consider compare predictive value dr severity microvascular complication dm
29,background coronavirus disease  pandemic make proper resource allocation prioritisation important frailty increase risk adverse outcome quantify clinical frailty scale aim study determine role clinical frailty scale patient year age coronavirus disease risk factor critical coronavirus disease  measure intensive care unit admission death risk factor death method retrospective observational study patient /= year hospitalise coronavirus disease  verify polymerase chain reaction  march   july association clinical frailty scale composite primary outcome intensive care unit admission death  day post hospitalisation secondary outcome death  day post hospitalisation analyse multivariable logistic regression model adjust gender age body mass index hypertension diabetes clinical frailty scale categorical variable fit score frail score severely frail score result total  patient include .% woman mean age year fully adjust model adjust odd ratio intensive care unit admission death -confidence interval p frail p severely frail compare fit patient death adjust odd ratio p frail p severely frail compare fit patient conclusion high clinical frailty scale score independent risk factor composite outcome intensive care unit admission death secondary outcome death
30,interim result large multinational trial coronavirus disease  covid- combination antiviral drug appear little effect -day mortality hospital course vivid interest find alternate purpose drug nutrition supplement halt slow disease severity review multiple preclinical study partially support clinical evidence show quercetin possible therapeutic prophylaxis efficacy severe acute respiratory syndrome coronavirus sars cov comorbiditie like chronic obstructive pulmonary disease copd diabetes mellitus obesity coagulopathy hypertension currently  interventional clinical trial underway assess efficacy quercetin antiviral drug nutritional supplement prophylaxis treatment option covid- present review tempting suggest base circumstantial scientific evidence preliminary clinical datum flavonoid quercetin ameliorate covid- infection symptom act concert parallel independent path inhibit key factor responsible sars cov- infection mitigate clinical manifestation disease patient comorbid condition despite broad therapeutic property quercetin high power randomized clinical trial need firmly establish clinical efficacy covid-
31,objective study examine value risk stratification document diagnosis diabetes objectively measure height weight bmi covid- severity mortality large sample patient urban hospital locate southern california method datum retrospective cohort study covid- patient treat cedars sinai medical center march january analyze sociodemographic characteristic pre existing condition extract electronic medical record univariable multivariable logistic regression model identify associated risk factor regression causal mediation analysis examine role diabetes association obesity illness severity analysis stratify age result individual have bmi risk factor mortality regardless diabetes history conclusion finding clinical implication document patient elevated risk adverse outcome depth prospective study need capture glycemic regulation influence prognosis
32,study find association covid- disease severity vitamin d deficiency high level anti sars cov- igg aim study determine level vitamin d inflammatory state influence magnitude anti sars cov- iggs level covid- patient purpose  patient level anti sars cov- igg measure week   patient level vitamin d measure week  symptom onset find low vitamin d level significantly associate age disease severity trend significance negative correlation vitamin d anti sars cov- igg. anti sars cov- igg significantly high old age patient severe disease diabetes receive corticosteroid antibiotic therapy positive correlation anti sars cov- igg il- crp ldh esr percentage granulocyte conclusion vitamin d anti sars cov- igg share common parameter associate inflammatory state vitamin d protect severe form covid- directly affect anti sars cov- igg production
33,objective study aim evaluate presentation new onset type  diabetes mellitus pediatric cohort coronavirus disease  pandemic materials method study design single center descriptive cross sectional retrospective study patient diagnose new onset type  diabetes mellitus april april include study rate severe acute respiratory syndrome coronavirus  polymerase chain reactivity positivity investigate pandemic period compare period pre pandemic  year term number new onset type  diabetes mellitus patient rate presentation diabetic ketoacidosis degree diabetic ketoacidosis severity result total  patient diagnose type  diabetes mellitus pandemic  .% test positive severe acute respiratory syndrome coronavirus  polymerase chain reaction number new onset type  diabetes mellitus patient    rate presentation diabetic ketoacidosis similar pandemic period compare pre pandemic period .%  vs. .%  .% p proportion severe diabetic ketoacidosis similar year respectively .%  vs. .%  .% p conclusion report  case test positive severe acute respiratory syndrome coronavirus new onset type  diabetes mellitus patient pandemic find increase number new onset type  diabetes mellitus case compare prepandemic period rate diabetic ketoacidosis severe diabetic ketoacidosis similar finding suggest severe acute respiratory syndrome coronavirus take type  diabetes mellitus pathogenesis development type  diabetes mellitus long process prospective study need investigate long term effect severe acute respiratory syndrome coronavirus
