,processed_text
10,background severe case coronavirus disease  covid- experience hyper inflammatory reaction acute respiratory distress syndrome ards blood clotting organ damage prominent immunopathology advanced covid- cytokine release syndrome cytokine storm attribute defect immune regulate mechanism study aim evaluate role regulatory t cell tregs main cell maintain immune homeostasis method systematic search perform pubmed scopus google scholar english article relate treg role covid- extract evaluate researcher independently study eligibility assess base modify evidence base librarianship ebl checklist result nineteen eligible study compare treg cell covid- patient control group compare alteration cell severe moderate patient evaluate currently consensus increase decrease tregs covid- patient compare control group observe treg severe covid- patient significantly low moderate patient result uncontrolled inflammation cytokine storm conclusion regulatory t cell determinant disease severity prognosis patient covid- inhibit rampant inflammation prevent cytokine storm
11,background antibody response sars cov- valuable biomarker assessment spread virus population evaluation vaccine candidate recent datum suggest antibody level prognostic significance covid- serological study far rely test antibody spike s nucleocapsid n protein antibody direct structural nonstructural protein virus frequency biological clinical significance unknown method novel antigen array comprise  sars cov- antigen fragment develop examine igg iga ige igm response sars cov- sera  patient covid- include  patient sequential sample available  pre pandemic healthy control result antibody response antigen highly correlate frequency peak level antibody high patient severe moderate disease mild disease finding support idea antibody sars cov- exacerbate severity disease antibody dependent enhancement early igg iga response length s protein additional biomarker identification patient risk develop severe disease importantly study report sars cov- elicit ige response serum level positively correlate severity disease suggest link high level antibody mast cell activation conclusion study assess prevalence dynamic igg iga ige igm response multiple sars cov- antigen simultaneously result provide important insight pathogenesis covid- implication plan interpret antibody base epidemiological study
12,background rapid worldwide spread severe acute respiratory syndrome coronavirus  sars cov- infection lead public health crisis globally number pediatric patient coronavirus disease  covid- rise aim study describe epidemiological clinical laboratory imaging feature hospitalize patient covid- iranian referral pediatric hospital compare parameter hospitalize patient severe disease multisystem inflammatory syndrome child mis c child acute covid- deceased discharge case method study include hospitalize child adolescent  year suspect covid- positive result sars cov- result  patient suspect covid-  confirm covid- case include study total  child diagnose mis c. majority case mis c male n significantly high child n acute covid- p patient show severe form covid- ninety percent case n severe covid- comorbiditie significantly high case non severe mild disease n p mortality rate report n ninety percent deceased case n comorbiditie significantly high discharge patient n p conclusion increase number child severe covid- cause great concern underlie disease mainly cardiovascular disease cancer malignancy associate great risk development severe covid- death child hand pediatric patient mis c usually develop mild form disease evaluation specific immunological response child explore delay inflammatory syndrome highly recommend
13,introduction severity coronavirus disease  covid- know affect hyperinflammation identification important protein associate hyperinflammation critical protein potential target biomarker target drug discovery combine enrichment analysis protein identify biological knowledge relate hyperinflammation conduct transcriptomic data analysis reveal gene contribute disease severity method perform large scale gene function analysis gene ontology identify significantly enriched biological process molecular function cellular component associate protein appropriate method functionally group large scale protein protein interaction ppi datum small scale cluster fuzzy k partite clustering collect transcriptomic datum geo database gse  gpl platform create datum set analyze gene expression orange data mining version ppi analysis perform string database confidence score result study indicate protein associate  molecular function associate  cellular component associate biological process go molecular function cellular component   biological process associate important cytokine relate covid- cytokine storm present result cluster expression analysis show interferon relate gene ifnar ifi ifit ifit significant gene ppi show interaction closely relate conclusion combination enrichment go transcriptomic analysis show hyperinflammation severity covid- cause interferon signal
14,ctsl express cancerous tissue encode lysosomal cysteine proteinase regulate cancer progression sars cov- entry critical predict susceptibility cancer patient sars cov- evaluate correlation disease outcome expression ctsl malignant cancer tissue current study analyze ctsl expression mutation rate survival covid- disease outcome cancer normal tissue online database perform immunohistochemistry ihc test ctsl expression western blot monitor regulation cordycepin cd n n dimethyladenosine m respectively find ctsl conserve different specie highly express normal cancer tissue human compare ace proteinase protease additionally expression ctsl protein high lung tissue mrna expression ctsl high normal lung high cancer tissue compare ace mrna expression respective tissue compare protease proteinase convertase tmprss furin expression ctsl high normal lung lung cancer sample datum indicate ctsl play important role covid- pathogenesis normal cancer tissue lung additionally ctsl- isoform contain inhibitor_i peptidase_c domain highly prevalent cancer suggest potential role tumor progression sars cov- entry multiple type cancer analysis expression ctsl mutant show correlation furin tmprss suggest potential role ctsl mutation modulate sars cov- entry cancer high expression ctsl significantly correlate short overall survival os lung cancer glioma ctsl play major role susceptibility lung cancer glioma patient sars cov- uptake covid- severity furthermore cd m inhibited ctsl expression cancer cell line mda mb- and/or pc dose dependent manner conclusion ctsl highly express normal tissue increase cancer cd m inhibit expression suggest therapeutic potential target ctsl cancer covid- treatment
15,background aim coronavirus disease  covid- cause virus know severe acute respiratory syndrome coronavirus  sars cov- pandemic wave sars cov- develop significant change mutation result emergence different strain strain vary virulence disease severity report show omicron variant cause mild illness little know impact omicron patient chronic myeloid leukemia present patient chronic myeloid leukemia infection omicron variant sars cov- outcome material method retrospective datum record national center cancer care research december january participant adult age  year omicron infection diagnose chronic myeloid leukemia accord world health organization classification  result patient chronic myeloid leukemia omicron infection patient mild disease accord world health organization classification covid- severity majority patient young male conclusion patient chronic myeloid leukemia infection omicron variant sars cov- usually result mild disease require hospitalization
16,global level pandemic coronavirus disease  covid- know cause etiologic agent severe acute respiratory syndrome coronavirus  sars cov- numerous evidence proposition emerge molecular cellular attribute cause covid- notwithstanding key question reference molecular aspect severity infection sars cov- need answer line role healthy mitochondrion maintain intracellular temperature association severity sars cov- completely missing direction preclinical clinical datum comorbiditie case mitochondrial defective disease covid- available author propose patient harbor primary mitochondrial disease secondary mitochondrial dysfunction display high severity death rate compare healthy mitochondrion harbor patient
17,objective study examine value risk stratification document diagnosis diabetes objectively measure height weight bmi covid- severity mortality large sample patient urban hospital locate southern california method datum retrospective cohort study covid- patient treat cedars sinai medical center march january analyze sociodemographic characteristic pre existing condition extract electronic medical record univariable multivariable logistic regression model identify associated risk factor regression causal mediation analysis examine role diabetes association obesity illness severity analysis stratify age result individual have bmi risk factor mortality regardless diabetes history conclusion finding clinical implication document patient elevated risk adverse outcome depth prospective study need capture glycemic regulation influence prognosis
18,background sars cov- causal agent covid- enter human cell ace angiotensin convert enzyme protein receptor ace key infection treatment coronavirus ace highly express heart respiratory gastrointestinal tract play important regulatory role cardiovascular biological system genetic basis ace protein level understand method conduct large genome wide association meta analysis plasma ace level  individual scallop consortium systematic combined analysis olink proteins summarize cross sectional epidemiological correlate circulate ace summary statistic base high definition likelihood method estimate relevant genetic correlation cardiometabolic phenotype covid- human complex trait disease perform causal inference soluble ace vascular disease outcome covid- severity mendelian randomization perform silico functional analysis integrate type omic datum result identify  loci include  novel capture heritability protein detect plasma ace genetically correlate vascular disease severe covid- wide range human complex disease medication x chromosome cis protein quantitative trait loci base mendelian randomization analysis suggest causal effect elevated ace level covid- severity odd ratio ci p=. hospitalization odd ratio ci p=. infection odd ratio ci p=. tissue- cell type specific transcriptomic epigenomic analysis reveal ace regulatory variant enrich dna methylation site blood immune cell conclusion human plasma ace share genetic basis cardiovascular disease covid- related disease genetic architecture ace protein map provide useful resource biological clinical study coronavirus receptor
19,introduction relationship cigarette smoking status sars cov- infection coronavirus disease  covid- severity highly debate conduct retrospective cohort study million adult large healthcare system evaluate smoking associate sars cov- infection disease severity method retrospective cohort study adult kpnc // baseline // pre vaccine include smoking status current socio demographic comorbiditie electronic health record sars cov- infection identify positive pcr test covid- severity hospitalization icu admission death day covid- diagnosis estimate time event analysis cox proportional hazard regression model adjust covariate secondary analysis examine covid- severity patient covid- logistic regression result study patient sars cov- infection current smoking associate low adjust rate sars cov- infection ahr=. ci:.- covid related hospitalization ahr=. ci:.- icu admission ahr=. ci:.- death ahr=. ci:.- smoking smoking associate low adjust rate sars cov- infection ahr=. ci:.- high rate hospitalization ahr=. ci:.- death ahr=. ci:.- smoking logistic regression analysis patient covid- find low odd hospitalization current versus smoking high odd hospitalization death versus smoking conclusion large study date smoking covid- current smoking show low risk sars cov- infection smoke history smoking associate high risk severe covid- implication cohort study million adult adjust socio demographic medical comorbiditie current cigarette smoking associate low risk covid- infection severe covid- illness compare smoking history smoking associate slightly low risk covid- infection modestly high risk severe covid- illness compare smoking lower observed covid- risk current versus smoking deserve investigation result support prioritize individual smoking relate comorbiditie vaccine outreach treatment available
20,objective objective study evaluate clinical finding treatment result covid- pediatric cancer patient study design study design single center retrospective observational study pediatric cancer patient covid- admit university health sciences adana city training research hospital pediatric covid ward october  october  include clinical datum demographic characteristic retrieve patient file result total  pediatric cancer patient diagnose covid- include study mean age patient year range .% man .% turkish citizen .% syrian refugee total  patient .% leukemia lymphoma  .% solid tumor common symptom fever .% respiratory .% gastrointestinal symptom disease severity evaluate mild .% moderate .% severe .% patient patient present lymphopenia .% thrombocytopenia .% anemia .% neutropenia mean hospital length stay range day overall range  day picu intensive care unit admission rate .% mortality rate median viral shedding period  day range conclusion study reveal mortality rate length hospital stay need intensive care pediatric cancer patient covid- high healthy child prospective study large sample size need evaluate clinical finding treatment result covid- pediatric cancer patient
21,background sars cov- infection portend broad range outcome majority asymptomatic case lethal disease robust correlate severe covid- include old age male sex poverty co morbidity obesity diabetes cardiovascular disease precise knowledge molecular biological mechanism explain association severe disease male sex lack analyze relationship serum testosterone level immune cell skew disease severity male covid- patient method biochemical hematological parameter admission sample  hospitalize male female covid- patient analyze association outcome sex longitudinal hospital course analysis subcohort  male patient analyze association outcome longitudinal analysis immune population flow cytometry  male patient study association outcome result find quantitative difference biochemical predictor disease outcome male vs. female patient longitudinal analysis subcohort male covid- patient identify serum testosterone trajectory strong predictor survival auc roc .% p patient biochemical parameter study include single point admission serum testosterone value lethal case longitudinal determination serum luteinizing hormone lh androstenedione level follow physiological feedback pattern failure reinstate physiological testosterone level associate evidence impaired t helper differentiation augmented circulate classical monocyte conclusion recovery failure reinstate testosterone level strongly associate survival death respectively covid- male patient datum suggest early inhibition central lh androgen biosynthesis axis majority patient follow recovery survivor peripheral failure lethal case observation suggestive significant role testosterone status immune response covid- warrant future experimental exploration mechanistic relationship testosterone status sars cov- infection outcome potential prophylactic therapeutic implication
22,omicron mutate sars cov- variant factor affect transmissibility disease severity immune evasiveness genomic surveillance important city million inhabitant economic center mexico city result  november  december observe increase omicron prevalence mexico city explore rk substitution prevalent omicron variant know associate immune escape monoclonal antibody phylogenetic analysis find independent exchange mexico world event follow local transmission give rise omicron diversity mexico city haplotype analysis reveal association haplotype vaccination status patient vaccinate report comorbiditie associate omicron presence odynophagia absence dysgeusia significant predictor symptom omicron rt qpcr ct value low omicron conclusion genomic surveillance key detect emergence spread sars cov- variant timely manner week onset infection wave inform public health decision detect spread mutation affect therapeutic efficacy
23,background sarcopenia associate patient poor quality life disability hospitalization today evidence highlight association sarcopenia covid- outcome remain unclear study seek analyze patient sarcopenia high risk develop poor covid- outcome method specific keyword comprehensively potential article europe pmc pubmed source july st publish study sarcopenia coronavirus disease  collect review manager comprehensive meta analysis  software conduct statistical analysis result  study covid- patient include analysis evaluation datum gather yield association sarcopenia increase severity covid- ci p random effect modelling mortality covid- ci p random effect modelling increased risk develop severe covid- sarcopenic patient influence cancer conclusion study propose patient sarcopenia risk develop poor covid- outcome patient sarcopenia need special attention prioritize receive sars cov- vaccine registration details prospero crd
24,background background sars cov- virus large rna virus include coronavirus group show tropism airway epithelial cell sars cov- cause acute respiratory infectious disease covid- accord report mortality covid- high elderly burden comorbiditie diabetes obstructive pulmonary disease coronary artery disease cancer hypertension hepatitis b obesity chronic kidney disease objective aim study review current literature influence importance vitamin d level course sars cov- infection material method systematic review study publish january  june  perform purpose bibliographic database pubmed scopus search follow keyword combination covid- vitamin d -hydroxy vitamin d vitamin d supplementation sars cov- result show vitamin d play important role mechanism innate immunity course acute respiratory infection overlap factor severity covid- disease vitamin d deficiency prevalence obesity age scare ethnicity lead researcher hypothesize vitamin d supplementation promise preventive therapeutic measure covid- conclusion important factor immunomodulatory character vitamin d adequate supplementation preventive therapeutic measure case sars cov- infection especially elderly people obesity chronic disease
25,coronavirus disease  covid- cause severe acute respiratory syndrome coronavirus  sars cov- affect  million individual worldwide show cause increase disease severity mortality patient active cancer versus healthy individual vaccination important reduce covid associated morbidity mortality aim article review exist knowledge effectiveness immunogenicity safety covid- vaccine patient cancer article include follow search pubmed google scholar database study publish january  september  investigate humoral cell mediate immune response follow covid- vaccination patient cancer immunogenicity vaccine find low patient cancer versus healthy individual humoral immune response inferior haematological versus solid cancer patient- disease- treatment relate factor associate poor vaccine response identify correct mitigate possible consideration give offer patient cancer second dose covid vaccine short interval healthy individual patient cancer warrant vaccine dose prioritize vaccination schedule vaccine adverse effect profile comparable patient cancer healthy individual
26,infection sars cov- causative agent coronavirus disease  covid- pandemic cause respiratory problem multifaceted organ dysfunction crucial mechanism covid- immunopathy recruitment activation neutrophil infection site predict disease severity poor outcome release neutrophil extracellular trap net occur regulate form neutrophil cell death know netosis key effector function mediate harmful effect cause neutrophil abundant netosis net generation observe neutrophil covid- patient lead unfavorable coagulopathy immunothrombosis excessive netosis net generation widely recognize mediator additional pathophysiological abnormality follow sars cov- infection minireview introduce subtype net produce neutrophil e.g. low density granulocyte explain biological importance net protein cargo net covid- addition discuss mechanism sars cov- cause netosis upregulate viral process e.g. viral entry replication host pro net mechanism e.g. proinflammatory mediator release platelet activation autoantibody production furthermore provide update main finding netosis net immunothrombosis covid related disorder aberrant immunity neurological disorder post covid- syndrome include lung fibrosis neurological disorder tumor progression deteriorate chronic illness finally address potential prospective covid- treatment strategy target dysregulate netosis net formation inhibition netosis promotion net degradation respectively
27,patient covid- present wide variety clinical manifestation thromboembolic event constitute significant cause morbidity mortality patient infect sars cov- severe covid- associate hyperinflammation pre existing cardiovascular disease platelet important mediator sensor inflammation directly affect cardiovascular stressor report find platelet severely ill hospitalize covid- patient exhibit high basal level activation measure p selectin surface expression poor functional reserve vitro stimulation investigate question detail develop assay assess capacity plasma covid- patient activate platelet healthy donor platelet activation common feature plasma covid- patient correlate key measure clinical outcome include kidney liver injury apacheiii score identify ferritin pivotal clinical marker associate platelet hyperactivation covid- plasma mediate effect control platelet high patient subsequently develop inpatient thrombotic event proteomic analysis plasma covid- patient identify key mediator inflammation cardiovascular disease positively correlate vitro platelet activation mechanistically block signaling fcgammariia syk car pathway platelet antibody mediate neutralization igg depletion syk inhibitor fostamatinib reverse hyperactivity drive covid- plasma prevent platelet aggregation endothelial microfluidic chamber condition datum identify potentially actionable pathway central platelet activation and/or vascular complication clinical outcome covid- patient conclusion reveal key role platelet mediate immunothrombosis covid- identify distinct clinically relevant targetable signal pathway mediate effect
28,objective outbreak coronavirus disease covid- cause severe acute respiratory syndrome coronavirus  sars cov- result death  million people worldwide mortality rate approximately wear mask maintain social distance tracking isolate close contact sufficient control epidemic effectiveness vaccine affect willingness people vaccinate review aim examine efficacy different type vaccine reduce hospitalization rate disease severity mortality material method search database embase pubmed cochrane ebsco ceps related research september random effect model analysis result seven study identify involve participant participant vaccinated group participant non vaccinated group  significant incident vaccinated group  non vaccinated group risk ratio confidence interval compare vaccine type vaccine effectively prevent rate severe illness conclusion evaluate different brand vaccine type covid- vaccine prevent risk severe illness diagnosis analysis show type vaccine effectively prevent severe disease implement epidemic prevention guideline obtain vaccine different country improve vaccine protection reduce covid relate death worldwide
29,medical care patient hematological malignancy develop coronavirus disease  covid- major challenge current pandemic describe patient blast phase chronic myeloid leukemia hospitalize severe acute respiratory syndrome coronavirus  sars cov- infection patient successfully treat tocilizumab intubation avoid severity sars cov- infection relate severe acute respiratory distress syndrome develop secondary cytokine release syndrome interleukin  main cytokine involve cytokine release syndrome report describe use tocilizumab patient hematologic malignancy develop sars cov- infection case patient multiple myeloma report knowledge report sars cov infect patient blast phase chronic myeloid leukemia favorable response treatment tocilizumab management patient hematological malignancy infect sars cov- major challenge practitioner necessitate specific research direction
30,objective objective study determine impact multiple sclerosis ms disease modify therapy dmts development cellular humoral immunity severe acute respiratory syndrome coronavirus  sars cov- infection method patient ms age   year evaluate anti nucleocapsid anti spike receptor bind domain rbd antibody electro chemiluminescence immunoassay antibody response spike protein rbd n terminal domain multiepitope bead base immunoassay mbi live virus immunofluorescence base microneutralization assay t cell response sars cov- spike truculture enzyme link immunosorbent assay elisa il- ifngamma elispot assay assay result compare dmt class spearman correlation multivariate analysis perform examine association immunologic response infection severity result january july  patient ms recruit mean age year woman non white common dmt ocrelizumab ocr)-% natalizumab sphingosine -phosphate receptor sp modulator untreated seventy seven patient laboratory evidence sars cov- infection  symptomatic infection  asymptomatic antibody response markedly attenuate ocr compare group p t cell response ifngamma decrease sp p increase natalizumab p similar dmt include ocr cellular humoral response moderately correlate ocr r p non ocr r p immune response differ race ethnicity coronavirus disease  covid- clinical course non severe similar dmt hospitalize interpretation dmt differential effect humoral cellular immune response sars cov- infection immune response correlate covid- clinical severity relatively young nondisabled group patient ms ann neurol
31,background inflammatory response benign condition cause non cancer relate elevation tumor marker severe acute respiratory coronavirus  sars cov- induce distinct viral inflammatory response result coronavirus disease  covid- clinical datum suggest carcinoembryonic antigen cea carbohydrate antigen cancer antigen  level rise patient covid- available datum exclude cancer patient little know effect covid- tumor marker cancer patient method conduct case series identify patient positive sars cov- pcr test diagnosis solid tumor malignancy cea laboratory test cancer patient document covid- infection pre- post infection tumor marker measurement include abstract electronic health record demographic cancer diagnosis treatment evidence cancer progression date severity covid- infection tumor marker value result seven patient identify temporary elevation tumor marker value post covid- period elevation tumor marker occur  day covid- infection patient tumor marker subsequently decrease second time point post infectious period patient conclusion report temporary elevation cancer tumor marker period surround covid- infection knowledge report phenomenon cancer patient implication clinical management future research
32,background aim study estimate prevalence self report chemosensory dysfunction study cohort subject develop mild moderate coronavirus disease  covid- period january february  omicron proxy period compare historical series patient test positive severe acute respiratory syndrome coronavirus- sars cov- infection march april  comparator period method prospective study base sino nasal outcome tool snot- item sense smell taste additional outcome result patient characteristic clinical presentation covid- evaluate compare  patient  study cohort  historical series prevalence self report chemosensory dysfunction proxy omicron period .% confidence interval ci .- significantly low comparator period .% ci p nearly quarter patient .% ci report altered sense smell proxy omicron period compare ci comparator period p similarly prevalence altered sense taste drop ci proxy omicron period ci comparator period p severity chemosensory dysfunction low proxy omicron period compare comparator period p conclusion prevalence severity covid associated smell taste dysfunction drop significantly advent omicron variant remain
33,aim determine level follicular helper t tfh follicular regulatory t tfr cell covid- patient determine level correlate disease severity presence hyperglycemia study carry  hospitalize covid- patient  healthy control level total circulate tfh inducible t cell costimulator icos)+ activate tfh tfr cell assess participant flow cytometry total cd+cxcr+ tfh cell icos+foxp activate tfh cell increase icos+foxp+ tfr cell decrease covid- patient especially diabetic patient severe disease activate icos+ tfh cell directly correlate lactate dehydrogenase d dimer ferritin respiratory rate inversely correlate partial pressure carbon dioxide covid- associate marked activation tfh cell profound drop tfr cell especially severe diabetic patient future study expand cohort patient need clarify relationship sars cov- acute onset diabetes
34,background high prevalence severity formidable morbidity mark recent emergence novel coronavirus disease covid- pandemic significant association pre existing co morbid condition increase disease burden global health emergency push patient healthcare worker facility verge complete disruption method meta analysis pooled datum undertake assess cumulative risk assessment multiple co morbid condition associate severe covid- pubmed scopus google scholar search january st june th  generate order analytical critical review exercise begin key requisite keyword follow inclusion exclusion criterion data extraction quality evaluation final statistical meta analysis risk factor critical severe non critical covid- infection carry microsoft excel ver medcalc ver revman software ver result investigate  eligible study comprise  covid- disease patient represent people republic china prc usa europe n total patient critical severe covid- disease pooled analysis show significant association covid- disease severity risk cardiovascular disease rr p follow diabetes rr p hypertension rr p smoking rr p conclusion review involve sample size  covid- patient wide geographical distribution report focusse association individual risk assessment co morbid condition heightened risk covid- disease present meta analysis cumulative risk assessment co morbidity cardiovascular disease diabetes hypertension smoking signal novel interpretation inherent risk factor exacerbate covid- disease severity consequently exist definite window opportunity increase survival covid- patient high risk co morbid condition timely identification implementation appropriately suitable treatment modality
