,processed_text
10,introduction acute kidney injury aki associate increase mortality rate hospitalize patient coronavirus disease  covid- current review aim evaluate symptom complication treatment perform manage aki patient covid- method search pubmed medline web science embase relevant scientific literature publish february following keyword covid- sars cov- acute kidney injury result study total number  covid- patient aki mean age year include systematic review common comorbiditie patient covid- suffering aki history diabetes hypertension hyperlipidemia  include study report history chronic kidney disease ckd group patient focal segmental glomerulosclerosis fsgs acute tubular necrosis atn common pathological evidence average length hospital stay  day average duration need mechanical ventilation  day conclusion current systematic review show aki frequently complicate course covid- hospitalization associate increase severity illness prolonged duration hospitalization poor prognosis give extent adverse impact aki early detection comorbiditie renal complication essential improve outcome covid- patient
11,introduction coronavirus disease  covid- pandemic hit world badly high mortality severe acute respiratory syndrome coronavirus  sars cov- infection increase covid- burden developed develop country unavailability prove treatment option vitamin d important anti inflammatory immunomodulator anti viral function present study conduct evaluate relationship vitamin d covid- method cross sectional study conduct tertiary care hospital patna india patient enrol period month chemiluminescence base immunoassay analyzer quantify vitamin d covid- patient study compare vitamin d deficiency insufficiency different group i.e. age sex bmi comorbidity etc diabetes hypertension evaluate risk factor mortality result total  patient investigate .% vitamin d deficiency .% insufficiency vitamin d level statistically significant different age group sex smoker patient aged year  time likely severe illness adjust aor ci age   year  time likely severe illness aor ci patient comorbiditie hand tenfold great chance severe covid- aor ci deficiency vitamin d increase chance illness nearly time aor ci conclusion vitamin d level associate severity illness estimate prognosis coivd- patient aid modification treatment protocol
12,mucormycosis angioinvasive disease cause mold fungus genus rhizopus mucor india report surge case covid  associate mucormycosis past month increase frequency risk factor like corticosteroid therapy uncontrolled diabetes neutropenia obesity study show eukaryote cell membrane contain cholesterol fungal cell wall contain ergosterol lanosterol precursor ergosterol essential mitochondrial dna maintenance fungus cholesterol human current study base hypothesis fungus use human cholesterol raw material maintain cell function accentuate multiplication indirectly show association deranged lipid parameter individual severity mucormycosis present study aim estimate lipid parameter correlate serum lipid parameter clinical profile stage disease duration onset mucormycosis patient covid associate mucormycosis material cross sectional study conduct  patient diagnose covid  associate mucormycosis admit hospital attach bmcri july  september serum fast lipid profile biochemical parameter determine correlation lipid level clinical profile onset staging mucormycosis patient obtain observation age distribution vary yr yr majority male patient mucormycosis severity stage nasal block .% find common symptom follow headache(.% patient mucormycosis frequent associate comorbidity diabetes mellitus dm follow hypertension htn follow dm htn follow ischemic heart disease ihd follow dm htn ihd study show statistically significant correlation severity mucormycosis increase progressive worsen lipid parameter show statistically significant correlation patient increase tc ldl vldl tg level short covid  onset mucormycosis onset duration conclusion study show positive correlation serum lipid profile staging mucormycosis negative correlation lipid level duration onset covid  onset mucormycosis serum lipid profile excellent marker predict severity prognosis covid  associate mucormycosis
13,covid  infection highly transmissible spread globally include population high vaccination rate covid- vaccination india start month january  healthcare worker hcw vaccinate lot debate efficacy vaccine study highlight breakthrough covid- infection vaccinated hcw compare clinical lab parameter hospitalize non hospitalize material retrospective study conduct questionnaire assess covid- like symptom confirm covid  infection fully vaccinate hcw faculty include nurse wardboy professor post graduate student intern institute period  month march  june number infection match hospital record observation  hcw receive dose covishield vaccine male  female mean age find ne people co morbidity include diabetes hypertension  hcw  people require hospitalization ie case mild symptom require oxygen support significant difference hospitalize non hospitalize regard routine lab parameter significant elevation inflammatory marker positive  hospitalize case p value significant p&lt conclusion study identify breakthrough infection vaccinated hcws(health care worker common breakthrough infection mild asymptomatic persistent symptom occur finding suggest covid- severe hospitalize patient compare non hospitalized infection occur result severe form mortality indicate vaccination prevent severe form disease preventive measure continue vaccinate individual
14,sars  cause covid  disease b l pneumonia systemic inflammation coagulation activation ard multiorgan failure key feature covid patient need icu admission proinflammatory cytokine tnf il  beta cause cytokine storm covid  disease material single center retrospective cross sectional study clinical laboratory characteristic  patient severe covid- collect  patient severe covid incidence thromboembolism symptom  patient ie control incidence thromboembolism severe case define include following criterion respiratory rate gt;/ min oxygen saturation pao hg patient shock respiratory failure require mechanical ventilation combine organ failure require admission intensive care unit icu pe case patient high clinical suspicion tachycardia gt bpm systolic arterial tension lt mmhg sign right ventricular pressure overload pe severity assess simplified pulmonary embolism severity index s -pesi observation  patient severe covid-  .% incidence thromboembolism compare patient severe covid- incidence thromboembolism patient incidence thromboembolism old susceptible receive mechanical ventilation admission icu high mortality addition patient severe covid- thromboembolism high level leukocyte count neutrophil count high sensitivity c reaction protein procalcitonin ferritin interleukin il  receptor il- il- tumor necrosis factor alpha d dimer fibrinogen lactic dehydrogenase n terminal probrain natriuretic peptide patient severe covid- incidence thromboembolism non survivor man vs woman non survivor severe inflammatory response cardiac hepatic renal coagulation impairment finally kaplan meier survival curve show trend poor survival patient severe covid- incidence thromboembolism patient incidence thromboembolism hr ci .- p adjustment age sex hypertension cardiovascular disease cerebrovascular disease cox regression median survival duration hospital admission patient severe covid- incidence thromboembolism  day  day respectively conclusion mortality rate patient severe covid- incidence thromboembolism high incidence thromboembolism lead increase risk death
15,objective treatment original variant fully determine variant covid- emerge clinic covid- change variation controversial present study aim examine covid- severity treatment responsiveness critically ill patient original virus emergent variation comprehensive set measure patient method treatment response laboratory finding clinical condition critically ill patient covid- identify variant february st th examine medical intensive care units icu tertiary care center patient receive treatment icu week result patient original variant pov critically ill patient include study sofa score blood glucose total bilirubin urea creatinine lactate dehydrogenase level decrease significantly pov p=. p=. p=. p=. p=. respectively overall patient emergent variant pev m sd low partial pressure oxygen fraction inspire oxygen ratio p f pov m sd use prone position steroid therapy result significant improvement oxygenation critically ill pev hypertension identify common comorbidity pev or=. conclusion show state pev severe pov time icu admission prone position steroid efficient improve p f ratio p f ratio pev significantly low non invasive ventilation result suggest early intubation necessary pev
16,importance sars cov- entry require tmprss cell surface protease antiandrogen therapy reduce expression tmprss objective determine temporary androgen suppression induce degarelix improve clinical outcome inpatient hospitalize covid- design setting participant hormonal intervention treatment veteran covid- requiring hospitalization hitch phase placebo control double blind randomized clinical trial compare efficacy degarelix plus standard care vs placebo plus standard care clinical outcome man hospitalize covid- require invasive mechanical ventilation inpatient enrol  department veterans affairs hospital july april datum analyze august  october intervention patient stratify age history hypertension disease severity centrally randomized degarelix subcutaneous dose  mg saline placebo standard care include limit supplemental oxygen antibiotic vasopressor support peritoneal dialysis hemodialysis intravenous fluid remdesivir convalescent plasma dexamethasone main outcomes measures composite primary end point mortality ongoing need hospitalization requirement mechanical ventilation day  randomization secondary end point time clinical improvement inpatient mortality length hospitalization duration mechanical ventilation time achieve temperature reference range maximum severity covid- composite end point  day result trial stop futility plan interim analysis time  evaluable patient include  patient randomize degarelix group  patient placebo group  initially plan median range age year common comorbiditie include chronic obstructive pulmonary disorder patient hypertension patient cardiovascular disease patient asthma patient diabetes patient chronic respiratory failure require supplemental oxygen baseline prior covid- patient primary end point significant difference degarelix placebo group patient vs  patient p similarly difference observe degarelix placebo group secondary end point include inpatient mortality patient vs  patient cause mortality patient vs  patent difference degarelix placebo group overall rate adverse event patient vs  patient adverse event patient vs  patient unexpected safety concern conclusion relevance randomized clinical trial androgen suppression vs placebo usual care man hospitalize covid- degarelix result amelioration covid- severity trial registration clinicaltrials.gov identifier nct
17,background december outbreak pneumonia cause severe acute respiratory syndrome coronavirus- sars cov- lead life threaten ongoing pandemic worldwide retrospective study chow show aspirin use associate decrease intensive care unit icu admission hospitalize coronavirus disease  covid- patient recently recovery trial show associate reduction -d mortality progression mechanical ventilation patient conflict finding study aim evaluate impact daily aspirin intake outcome covid- patient aim study aim evaluate impact daily aspirin intake outcome covid- patient method retrospective cohort study conduct  covid- positive patient subgroup analysis evaluate association demographic comorbiditie undertake impact chronic aspirin use assess survival outcome need mechanical ventilation progression icu variable evaluate chi square test multinomial logistic regression analysis result  patient study .% daily aspirin .% cross tabulation clinical parameter show hypertension p hyperlipidemia diabetes mellitus p significantly associate aspirin intake regression analysis progression icu need mechanical ventilation survival outcome daily aspirin intake show statistical significance conclusion study suggest daily aspirin intake protective impact covid- illness associate survival outcome mechanical ventilation progression icu level care
18,background coronavirus disease  covid- pandemic tertiary hospital south africa world wide describe limited datum publish finding article aim describe patient admit large district hospital cape town south africa wave severe acute respiratory syndrome coronavirus  sars cov- infection compare clinical feature investigate survivor deceased covid- patient method single centre retrospective review clinical record laboratory datum patient admit positive sars cov- polymerase chain reaction pcr april  august result total  patient positive sars cov- pcr admit study centre night long patient  die covid- median age patient die covid-  year  year survivor hypertension diabetes mellitus obesity common comorbiditie patient survive die covid- major difference compare severity infiltrate chest x ray cxr covid- survivor deceased patient half deceased patient die  day follow admission hospital substantial number patient die covid- associate acute kidney injury n conclusion acute kidney injury high prevalence patient die covid- delay transfer intensive care unit icu limited icu capacity disease severity contribute substantial number patient die  day admission
19, confirm coronavirus disease  covid- case india declare pandemic world health organization march risk severe covid- consistent individual uncertainty link disease development covid- result relate systemic inflammation predictor covid- increase level inflammatory marker associate cytokine storm coagulopathy endothelial dysfunction significant research suggest result role cause death individual suffer severe form covid- aim experience covid- gitam institute medical sciences research gimsr visakhapatnam analyze datum  patient admit dedicated covid hospital post unlock ul india august  august mean age year male mohfw india severity guideline .% mild .% moderate .% severe case fatigue .% common complaint follow anosmia .% fever .% diarrhea .% shortness breath .% common preexist comorbidity see patient diabetes mellitus hypertension respectively laboratory parameter reveal mean hemoglobin .+/- gm dl mean total leukocyte count .+/- cell cumm mean platelet count .+/- lakh cumm mean erythrocyte sediment rate mm hr mean ferritin level ng ml mean d dimer level ng ml mean crp mg l. severity associate high age symptomatic presentation elevated leucocyte elevate inflammatory marker
20,objective describe cerebrovascular manifestation patient hospitalize treatment severe covid- highlight comorbiditie observe play relevant role risk factor severe outcome method case series retrospective analyze june november patient admit emergency department positive nasopharyngeal swab polymerase chain reaction assay sars cov- present neurological symptom positive finding brain imaging study result sample clinical severity symptom varied mild critical ischemic stroke observe patient hemorrhagic event occur case patient evolve large parenchymal hemorrhage present petechial bleed foci case observe subarachnoid hemorrhage associate bilateral hypodensity globus pallidus typical posterior reversible encephalopathy syndrome finding observe patient brain compute tomography conclusion patient neurovascular complication relate covid- positive finding brain imaging neurological symptom pathological entity observe draw attention neurological risk patient sars cov- infection include bad outcome individual medical history include clinical comorbiditie especially hypertension obesity
21,recent outbreak coronavirus sars cov- declare worldwide pandemic multi organ involvement ocular manifestation describe conjunctivitis retinopathy prevalence severity retinal lesion relation severity systemic disease unknown perform prospective observational study  consecutively hospitalize patient acute confirm covid- infection patient undergo screen widefield fundus photography time hospital admission despite ocular vision relate symptom find cotton wool spot cws and/or hemorrhage patient diabetes history overweight elevate c reactive protein frequently observe patient retinal abnormality history systemic hypertension frequently observe patient retinal finding follow visit cws subside patient
22,covid- risk increase comorbiditie effect magnify contribution individual combine comorbiditie overall clinical outcome aim explore influence demographic factor clinical manifestation underlie comorbiditie mortality severity hospital stay covid- patient retrospective chart review perform identify laboratory confirm case sars cov- infection apollo hospitals hyderabad march  august total  confirm sars cov- case identify  .% patient male  .% female confirm case  .% comorbiditie  .% devoid comorbiditie study show old age underlying comorbiditie significantly increase mortality hospital stay severity covid- infection presence comorbiditie diabetes mellitus dm hypertension htn coronary artery disease cad chronic kidney disease ckd confer severity high mortality ci observe hospital stay ci group multivariate analysis reveal nonsurvivor high dm htn cad ckd category odd ratio ci age gender comorbiditie adjust odd ratio decrease median survival  day observe dm htn cad ckd category summary presence underlie comorbiditie contribute high mortality rate great risk severe disease extend hospitalization period result overall poor clinical outcome hospitalize covid- patient
23,background coronavirus disease  infection global pandemic affect world population aim evaluate prognostic role cross sectional area muscle index muscle attenuation value compute tomography base skeletal group erector spinae muscle pectoralis muscle total skeletal muscle patient hospitalize coronavirus disease   cardiovascular risk factor method total  patient coronavirus disease   cardiovascular risk factor enrol study retrospectively cross sectional area muscle index attenuation erector spine muscle pectoralis muscle total skeletal muscle automatically measure compute tomography image study population assign tertile basis total smcsa index relationship value obtain length hospital stay admission intensive care unit need invasive mechani cal ventilation mortality investigate result admission intensive care unit need invasive mechanical ventilation mor tality high tertile  group group p value statistically muscle measurement significantly low tertile  p diabetes mellitus hypertension total smcsa index predictor hospital mortality patient coronavirus disease  basis cox regression analysis kaplan meier analysis proportion survivor relative total smcsa index tertile  high mortal ity survival rate p conclusion sarcopenia attendant cardiovascular comorbiditie effectively assess dis ease severity predict outcome patient coronavirus disease
24,background angiotensin convert enzyme  ace receptor serve receptor severe acute respiratory syndrome coronavirus  sars cov- virus cause covid- enter lung angiotensin convert enzyme inhibitor aceis angiotensin receptor blocker arb increase expression ace result concern patient covid- receive agent increase risk severe disease study conduct investigate effect acei arb severity covid- hospitalize hypertensive patient method study retrospective observational study medical record adult hypertensive patient hospitalize dammam medical complex dmc march december covid- hypertensive patient receive acei arb compare hypertensive patient acei arb result total  hypertensive patient include analysis consist  male  female patient respectively nearly half patient saudi patient total  patient acei arb group  patient control group difference group age diabetic status history chronic kidney disease initial blood pressure measurement initial oxygen requirement control group contain few female patient versus saudi patient versus acei arb group p value respectively use aceis arb associate significant reduction icu admission versus p value need intubation versus p value death versus p value significant negative association use acei arb mortality observe multivariate analysis adjustment possible confounder odd ratio confidence interval ci conclusion acei arb adverse effect clinical prognosis covid- patient hypertension use beneficial protective future large study need confirm effect continue covid- hypertensive patient use contraindicate reason e.g. hypotension hyperkalemia acute kidney injury aki
25,introduction interest revolve coronavirus disease  covid- reinfection escalate rapidly definition reinfection denote severe acute respiratory syndrome coronavirus  sars cov- pcr redetection covid- recurrence month initial symptom main aim current systematic review evaluate feature covid- relapse patient material method study string term develop skilled librarian systematical search pubmed web science embase eligible study clinical survey type include january  march eligible study consist positive assessment separate negative result rt pcr result study include  case covid- reinfection child likely covid- relapse patient age group year asthenia .% headache .% cough .% prevalent symptom sars cov- infection asthenia .% myalgia .% headache .% frequent second common treatment option covid- infection lopinavir ritonavir oxygen support .% oseltamivir treatment second infection antibiotic dexamethasone remdesivir addition obesity .% kidney failure hypertension .% common comorbiditie unfortunately approximately .% patient die conclusion find potency covid- recurrence outstanding issue feature regard covid- management furthermore second covid- similar clinical feature clinically practical comparison symptom severity epoch infection uniform datum require suggest future study undertake homogenous approach establish clinical pattern reinfection phenomenon
26,background coronavirus disease  pandemic make proper resource allocation prioritisation important frailty increase risk adverse outcome quantify clinical frailty scale aim study determine role clinical frailty scale patient year age coronavirus disease risk factor critical coronavirus disease  measure intensive care unit admission death risk factor death method retrospective observational study patient /= year hospitalise coronavirus disease  verify polymerase chain reaction  march   july association clinical frailty scale composite primary outcome intensive care unit admission death  day post hospitalisation secondary outcome death  day post hospitalisation analyse multivariable logistic regression model adjust gender age body mass index hypertension diabetes clinical frailty scale categorical variable fit score frail score severely frail score result total  patient include .% woman mean age year fully adjust model adjust odd ratio intensive care unit admission death -confidence interval p frail p severely frail compare fit patient death adjust odd ratio p frail p severely frail compare fit patient conclusion high clinical frailty scale score independent risk factor composite outcome intensive care unit admission death secondary outcome death
27,interim result large multinational trial coronavirus disease  covid- combination antiviral drug appear little effect -day mortality hospital course vivid interest find alternate purpose drug nutrition supplement halt slow disease severity review multiple preclinical study partially support clinical evidence show quercetin possible therapeutic prophylaxis efficacy severe acute respiratory syndrome coronavirus sars cov comorbiditie like chronic obstructive pulmonary disease copd diabetes mellitus obesity coagulopathy hypertension currently  interventional clinical trial underway assess efficacy quercetin antiviral drug nutritional supplement prophylaxis treatment option covid- present review tempting suggest base circumstantial scientific evidence preliminary clinical datum flavonoid quercetin ameliorate covid- infection symptom act concert parallel independent path inhibit key factor responsible sars cov- infection mitigate clinical manifestation disease patient comorbid condition despite broad therapeutic property quercetin high power randomized clinical trial need firmly establish clinical efficacy covid-
28,background patient comorbiditie increase risk severe coronavirus disease covid- symptom include abnormal inflammation chest x ray c reactive protein crp level frequently evaluate severity inflammation aim study investigate correlation comorbiditie chest x ray finding crp level patient covid- material method cross sectional analytic observational study perform quantitative approach study population include patient confirmed covid- secondary datum medical record patient analyse determine correlation comorbiditie chest x ray crp level result datum  patient .% female  male evaluate comorbiditie  .% patient hypertension  .% diabetes mellitus  .% dyspepsia chest x ray show  .% patient pneumonia  .% total  .% patient show increase crp level  .% increase patient show pneumonia chest x ray tend increase crp level result show chest x ray finding correlate crp level diabetes mellitus hypertension significantly correlate crp level p dyspepsia significant relationship crp level p patient hypertension .-fold risk having increase crp level compare patient hypertension patient pneumonia .-fold increase risk increase crp level compare pneumonia conclusion hypertension diabetes mellitus significantly correlate crp level chest x ray finding significantly correlate crp level
29,objective study aim investigate medical treatment attitude patient spondylarthritis rheumatoid arthritis ra biological drug novel coronavirus- covid- pandemic patient method multi center cross sectional study total  patient male  female median age  year range   year biological disease modify anti rheumatic drug bdmards rheumatic disease reach phone june st  june th  include demographic characteristic work status type rheumatic disease comorbiditie smoking habit type bdmard record disease activity evaluate visual analog scale vas patient ask continue treatment plan change change change plan happen change result patient  spondylarthritis  ra total .% patient smoker common comorbidity hypertension totally .% patient history contact covid- positive person .% patient diagnose covid- infection die patient .% continue treatment .% adopt change patient decision treatment plan n= .% .% consult physician .% consult health staff significant parameter change drug course receive intravenous bdmards infusion hospital p=. patient high disease activity measure vas compare patient receive non infusion therapy p=. result change severity symptom increase  patient disruption regular biological treatment prior infusion therapy likely worsen complaint p p=. respectively conclusion intravenous bdmard therapy main factor affect continuity treatment pandemic period pandemic period alternative treatment option consider infusion therapy interrupt treatment patient
30,background severe aki strongly associate poor outcome coronavirus disease  covid- datum renal recovery lack method retrospectively analyze association  hospitalize patient covid-  acute respiratory illness test negative covid- uni- multivariable analysis study mortality recovery kidney disease improving global outcomes stages   aki aki-/ machine learning predict aki recovery admission datum long term renal function outcome study subgroup aki-/ survivor result  covid negative patient aki-/ partial complete renal recovery die  covid- positive patient aki-/ low recovery high mortality note partial renal recovery complete renal recovery die multivariable analysis intensive care unit admission acute respiratory distress syndrome associate nonrecovery recovery significantly associate survival covid positive patient machine learning able predict recovery covid associated aki-/ average precision strong predictor recovery initial arterial partial pressure oxygen carbon dioxide serum creatinine potassium lymphocyte count creatine phosphokinase follow  survivor aki-/ covid positive covid negative patient incident progressive ckd conclusion recovery covid associate moderate severe aki predict admission datum associate severity respiratory disease hospital death risk ckd similar covid positive -negative patient
31,viral infection persist globally age gender ethnicity particular importance covid- associate asymptomatic severe symptom include complication mortality cardiovascular disease cvd involve heart blood vessel disorder include coronary heart disease cerebrovascular disease peripheral artery disease thrombosis cvd associate severe covid- include heart failure coronary artery disease cardiomyopathy hypertension cerebrovascular disease stroke datum acquire pubmed google scholar centers disease prevention control lexi comp search term covid- cardiovascular pathology covid- induce cvd viral infection induce cvd viral infection induce heart damage covid induce cvd mechanism include direct viral entry inflammation cytokine storm hypoxia interferon mediate immune response plaque destabilization stress drug induce cause viral pathology cause cvd include atherosclerosis inflammation cytokine storm plaque destabilization individual parameter old age male high body mass index bmi likely experience viral associate complication possibly explain patient risk factor comorbiditie population high risk include old male elevated bmi viral mechanism associate cvd similar differ disease severity potentially explain diverse cytokine profile covid- activate different type high quantity
